CO_PAIS;CO_PAIS_ISON3;CO_PAIS_ISOA3;NO_PAIS;NO_PAIS_ING;NO_PAIS_ESP
13;4;AFG;Afeganistão;Afghanistan;Afganistan
756;710;ZAF;África do Sul;South Africa;Sudáfrica
17;8;ALB;Albânia;Albania;Albania
23;276;DEU;Alemanha;Germany;Alemania
37;20;AND;Andorra;Andorra;Andorra
40;24;AGO;Angola;Angola;Angola
41;660;AIA;Anguilla;Anguilla;Anguilla
43;28;ATG;Antígua e Barbuda;Antigua and Barbuda;Antigua y Barbuda
47;530;ANT;Antilhas Holandesas;Netherlands Antilles;Antillas Holandesas
53;682;SAU;Arábia Saudita;Saudi Arabia;Arabia Saudita
59;12;DZA;Argélia;Algeria;Argelia
63;32;ARG;Argentina;Argentina;Argentina
64;51;ARM;Armênia;Armenia;Armenia
65;533;ABW;Aruba;Aruba;Aruba
69;36;AUS;Austrália;Australia;Australia
72;40;AUT;Áustria;Austria;Austria
73;31;AZE;Azerbaijão;Azerbaijan;Acerbaiyan
77;44;BHS;Bahamas;Bahamas;Bahamas
81;50;BGD;Bangladesh;Bangladesh;Bangladesh
83;52;BRB;Barbados;Barbados;Barbados
80;48;BHR;Barein;Bahrein;Bahrein
85;112;BLR;Belarus;Belarus;Belarús
87;56;BEL;Bélgica;Belgium;Bélgica
88;84;BLZ;Belize;Belize;Belice
229;204;BEN;Benin;Benin;Benin
90;60;BMU;Bermudas;Bermuda;Bermuda
97;68;BOL;Bolívia;Bolivia;Bolivia
99;535;BES;Bonaire, Saint Eustatius e Saba;Bonaire, Saint Eustatius and Saba;Bonaire, Saint Eustatius y Saba
98;70;BIH;Bósnia-Herzegovina;Bosnia and Herzegovina;Bosnia y Herzegovina
101;72;BWA;Botsuana;Botswana;Botswana
105;76;BRA;Brasil;Brazil;Brasil
108;96;BRN;Brunei;Brunei;Brunei
111;100;BGR;Bulgária;Bulgaria;Bulgaria
31;854;BFA;Burkina Faso;Burkina Faso;Burkina Faso
115;108;BDI;Burundi;Burundi;Burundi
119;64;BTN;Butão;Bhutan;Bhután
127;132;CPV;Cabo Verde;Cape Verde;Cabo Verde
145;120;CMR;Camarões;Cameroon;Camerún
141;116;KHM;Camboja;Cambodia;Camboya
149;124;CAN;Canadá;Canada;Canadá
154;634;QAT;Catar;Qatar;Qatar
137;136;CYM;Cayman, Ilhas;Cayman Islands;Caimán, Islas
153;398;KAZ;Cazaquistão;Kazakhstan;Kazakhstán
788;148;TCD;Chade;Chad;Chad
158;152;CHL;Chile;Chile;Chile
160;156;CHN;China;China;China
163;196;CYP;Chipre;Cyprus;Chipre
741;702;SGP;Cingapura;Singapore;Singapur
169;170;COL;Colômbia;Colombia;Colombia
173;174;COM;Comores;Comoros;Comoras
177;178;COG;Congo;Congo;Congo
888;180;COD;Congo, República Democrática;Democratic Republic of the Congo;República Democrática del Congo
183;184;COK;Cook, Ilhas;Cook Islands;Cook, Islas
187;408;PRK;Coreia do Norte;North Korea;Corea (Norte)
190;410;KOR;Coreia do Sul;South Korea;Corea (Sur)
193;384;CIV;Costa do Marfim;Cote D'Ivore;Costa de Marfil
196;188;CRI;Costa Rica;Costa Rica;Costa Rica
198;414;KWT;Coveite (Kuweit);Kuwait;Kuwait
195;191;HRV;Croácia;Croatia;Croacia
199;192;CUB;Cuba;Cuba;Cuba
200;531;CUW;Curaçao;Curaçao;Curazao
232;208;DNK;Dinamarca;Denmark;Dinamarca
783;262;DJI;Djibuti;Djibouti;Djibouti
235;212;DMA;Dominica;Dominica Island;Dominica
240;818;EGY;Egito;Egypt;Egipto
687;222;SLV;El Salvador;El Salvador;El Salvador
244;784;ARE;Emirados Árabes Unidos;United Arab Emirates;Emiratos Árabes Unidos
239;218;ECU;Equador;Ecuador;Ecuador
243;232;ERI;Eritreia;Eritrea;Eritrea
247;703;SVK;Eslováquia;Slovakia;Eslovaquia
246;705;SVN;Eslovênia;Slovenia;Eslovenia
245;724;ESP;Espanha;Spain;España
249;842;USA;Estados Unidos;United States;Estados Unidos
251;233;EST;Estônia;Estonia;Estonia
253;231;ETH;Etiópia;Ethiopia;Etiopía
255;238;FLK;Falkland (Malvinas);Falkland Islands (Malvinas);Malvinas (Falkland), Islas
259;234;FRO;Faroe, Ilhas;Faroe Islands;Feroé, Islas
870;242;FJI;Fiji;Fiji;Fiji
267;608;PHL;Filipinas;Philippines;Filipinas
271;246;FIN;Finlândia;Finland;Finlandia
275;251;FRA;França;France;Francia
281;266;GAB;Gabão;Gabon;Gabón
285;270;GMB;Gâmbia;Gambia;Gambia
289;288;GHA;Gana;Ghana;Ghana
291;268;GEO;Geórgia;Georgia;Georgia
293;292;GIB;Gibraltar;Gibraltar;Gibraltar
297;308;GRD;Granada;Grenada;Granada
